id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,search_term,search_country,relevance
in-ac31c80bba62986c,indeed,https://ae.indeed.com/viewjob?jk=ac31c80bba62986c,http://ae.indeed.com/job/operations-admin-coordinator-ac31c80bba62986c,Operations & Admin Coordinator,Solanki Real Estate Development LLC,"Dubai, DU, AE",2026-03-09,fulltime,,,,,,False,,,,accounts@company.com,"**Operations & Admin Coordinator – Property Management**

We are looking for a disciplined and detail-oriented professional to join our Property Management and Real Estate Development teams in a full-time, office-based coordination role. This is a structured execution role. You will not be making decisions. You will be ensuring that communications, documents, invoices, quotations, and action items are organised, tracked, and followed up without gaps. If you thrive on structure, take pride in clean records, and follow through consistently, this role is for you.

You will sit at the front desk and serve as the first point of contact for the office, greeting visitors, handling walk-in tenants professionally, and answering and directing incoming calls to the right team member.

You will manage the central inbox for the property management and development teams, categorise and forward emails to the relevant department, and maintain a live follow-up tracker to ensure no request goes unanswered. You will attend internal, consultant, and contractor meetings in person, prepare and circulate clear meeting minutes capturing decisions, responsibilities and deadlines, and follow up with responsible parties until every action item is closed.

On the accounts side, you will raise rent and service charge invoices as instructed, send them to tenants, follow up on outstanding payments, maintain an arrears tracker, and upload payment slips and supporting documents into the system. When vendors are needed, you will collect a minimum of three quotations, prepare a comparison sheet in Excel, and follow up with vendors on anything missing or pending.

You will also be responsible for document control across both teams, maintaining organised records for leases, contracts, consultant agreements, and drawing revisions, with everything properly named, dated, and filed. For development projects, you will maintain a submission log, track authority approval statuses, and follow up with consultants on delays.

We are looking for someone with strong written and spoken English, solid Excel skills, a professional phone manner, and the kind of disciplined follow-through that means nothing falls through the cracks. Prior experience is not mandatory, but your CV and communication must reflect structure and attention to detail. This role reports directly to the Director and works closely with the Leasing Manager, Operations Controller, and Accounts team.

Job Types: Full-time, Permanent

Pay: AED3,000.00 - AED5,000.00 per month

Ability to commute/relocate:

* Dubai: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* This role requires daily use of Microsoft Excel for trackers and comparison sheets. How would you describe your Excel skill level, and what types of spreadsheets have you worked with?
* Without using AI tools, write a short email (maximum 8 sentences) from yourself to a tenant named Mr. Ahmed. Inform him that his rent invoice for the amount of AED 15,000 has been attached, that payment is due within 7 days, and that he should contact the accounts team at accounts@company.com if he has any questions. Do not use bullet points. Write it as a natural, professional email.

Education:

* Bachelor's (Preferred)

Experience:

* administrative or coordination: 1 year (Preferred)

Language:

* English (Required)

Location:

* Dubai (Preferred)

Work Location: In person",,https://ae.indeed.com/cmp/Solanki-Real-Estate-Development-LLC,,,,,,,,,,,,,IT Director,united arab emirates,1
li-4383462623,linkedin,https://www.linkedin.com/jobs/view/4383462623,,Director of Operations,accesso,"Dubai, Dubai, United Arab Emirates",,,,,,,,False,,,,,,,https://www.linkedin.com/company/accesso,,,,,,,,,,,,,VP Technology,united arab emirates,1
in-e1776eca8f9977e1,indeed,https://ae.indeed.com/viewjob?jk=e1776eca8f9977e1,https://kone.wd3.myworkdayjobs.com/en-US/Careers/job/Dubai/Head-of-Service-Repairs-and-Material-Handling_R0658099,Head of Service Repairs and Material Handling,KONE,"Dubai, DU, AE",2026-03-08,fulltime,,,,,,False,,,,,"The Head of Service Repairs and Material Handling is a senior leadership role within the frontline organization, responsible for enabling consistent, efficient, and customer‑focused service repairs. This position oversees repair offering and commercialization, repair tendering, repair pricing, materials and spare parts support, inspection report analysis, and repair coordination teams, while ensuring strong collaboration with service sales, service operations, customer service, regional leadership, and other commercial stakeholders. The role reports to the Service Director, Middle East, Africa, and Türkiye .

**Key responsibilities for this** **position:**

* Lead the centralized Service Repairs team, covering repair offering and commercialization, repair pricing, repair tendering, material and spare parts support, inspection report analysis, and repair coordination
* Lead end-to-end material (spare parts) handling processes and ways of working on the frontline level in alignment with Global Spares Supply, ensuring the availability, pricing, and flow of spare parts are working smoothly for Service operations
* Define and execute the service repairs strategy in alignment with regional and global objectives
* Represent service repairs in strategic planning and decision‑making forums
* Support customer discussions when required, particularly for complex repairs, tender clarifications, or material feasibility‑related topics
* Partner with regional directors and peer leaders (e.g., Service Sales, Service Operations, Customer Service) to ensure coordinated efforts that drive profitability, productivity, and customer satisfaction
* Develop and maintain repair offering and pricing, ensuring alignment with global frameworks and local market needs. Collaborate effectively with relevant global and cross‑BL stakeholders
* Ensure compliance with commercial, technical, and offering governance policies, pricing guidelines, inspection report requirements, repair processes, and data quality standards
* Act as a key enabler for the centralized repairs tendering teams by ensuring they have the guidance, tools, and resources needed to succeed
* Advance data‑driven decision‑making through accurate reporting and performance analytics
* Support target setting and KPI follow‑up related to repair volumes, customer outcomes, and commercial performance. Lead FL repairs efficiency management and tracking, and ensure incentives are clear according to the annual process
* Lead, coach, and develop managers and team leaders to build a high‑performing, customer‑centric organization. Foster a culture of collaboration, accountability, and continuous improvement
* Lead cross‑functional projects and improvement initiatives across processes, IT tools, and performance management to strengthen repair efficiency and ways of working.

**Experience:**

* Bachelor’s degree in a related field. Master’s degree (MBA or equivalent) preferred
* Proven track record of leading teams in commercial management and service operations in a global organization
* Proven experience managing P&L or financial performance
* Strong proficiency in English and the local language

**Competencies:**

* Ability to understand technical scopes, market needs, commercial drivers, and the financial impact of repair decisions
* Able to work effectively with cross‑functional teams such as service operations, service sales, customer service, and regional leadership
* Skilled at coaching managers, supporting team development, and fostering a high‑performance, customer‑focused culture
* Strong transformational leadership capabilities, with the ability to drive change and strengthen common ways of working across repair teams.

*At KONE, we are focused on creating an innovative and collaborative working culture where we value the contribution of each individual. Employee engagement is a key focus area for us and we encourage participation and the sharing of information and ideas. Sustainability is an integral part of our culture and the daily practice. We follow ethical business practices and we seek to develop a culture of working together where co-workers trust and respect each other and good performance is recognized. In being a great place to work, we are proud to offer a range of experiences and opportunities that will help you to achieve your career and personal goals and enable you to live a healthy and balanced life.*

Read more on *https://careers.kone.com/en/*",,https://ae.indeed.com/cmp/Kone,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/511c9179bd62688ae0cc1cdc4ea28f43,https://www.kone.com,Espoo,"10,000+",more than $10B (USD),"At KONE, our mission is to improve the flow of urban life. We understand People Flow in and between buildings, making people’s journeys safe, convenient and reliable.",,,,,,,IT Director,united arab emirates,1
li-4381298688,linkedin,https://www.linkedin.com/jobs/view/4381298688,,Chief Technology Officer (Abu Dhabi),MCG Talent,"Dubai, United Arab Emirates",,,,,,,,False,,,,,,,https://ae.linkedin.com/company/mcgtalent,,,,,,,,,,,,,CTO,united arab emirates,1
li-4319881126,linkedin,https://www.linkedin.com/jobs/view/4319881126,,Director of IT Operations,HungerStation | هنقرستيشن,"Riyadh, Riyadh, Saudi Arabia",2026-03-08,,,,,,,False,,,,,,,https://sa.linkedin.com/company/hungerstation-com,,,,,,,,,,,,,IT Director,saudi arabia,1
li-4381702052,linkedin,https://www.linkedin.com/jobs/view/4381702052,,Director of Operations (Luxury Beauty and Cosmetics),HRsource,"Dubai, United Arab Emirates",,,,,,,,False,,,,,,,https://ae.linkedin.com/company/wearehrsource,,,,,,,,,,,,,Program Director,united arab emirates,1
in-d59f7e3997b04302,indeed,https://ae.indeed.com/viewjob?jk=d59f7e3997b04302,https://jobs.sephora.com/MiddleEast/job/DUBAI-CRM-and-Loyalty-Director/1170304855/?feedId=195900&utm_source=Indeed,CRM and Loyalty Director,Sephora,"Dubai, DU, AE",2026-03-09,,,,,,,False,,,,,"At Sephora, beauty is about feeling seen, valued, and empowered, individually and collectively. It is connecting deeply with others, celebrating diversity and inclusivity, unlocking your potential and making a difference every day. Together, we belong to something beautiful. Since its inception in 1969 in Limoges, France, and as part of the LVMH Group since 1997, Sephora has been disrupting the prestige beauty retail industry. Today, Sephora continues to break with convention to drive its mission: champion a world of inspiration and inclusion where everyone can celebrate their beauty. With 56,000 employees in 35 countries, we connect customers and beauty brands within the world’s most passionate beauty community. With a curation of nearly 500 brands, and our own label, Sephora Collection, we offer the most unique and diverse range of products: fragrances, makeup, hair care, skincare... and much more.

**Reporting to: Marketing Director.**

**Location**: Dubai, United Arab Emirates.

**Position Purpose:**

Own overall Customer Loyalty Strategy for Sephora Middle East. Provide expertise and leadership to define and implement customer loyalty strategies that successfully build profitable, long-term customer relationships across all channels. Partner with cross-functional teams, business partners, and channel execution groups to define and design an impactful promise for the loyalty program, and to ensure proper implementation, activation and measurements are in place. Lead the development of experience and communications strategies rooted in business and brand goals, customer data and channel-level best practices. Provide strategic direction into the data and technology needed to support the implementation and execution of the loyalty strategy and specific program management.

**You will excel and enjoy this position if you are ready to actively handle the following missions:**

**Strategy**

* Lead the development and execution of CRM strategy and function, including data gathering and quality, database understanding, targeting, marketing deployment and loyalty program enhancement and management.
* Evolve and optimize email, direct mail, SMS and touchpoint strategy to maximize customer loyalty and drive retention
* Evolve loyalty program to be a powerful loyalty driver that is consistent with the vision of the brand
* Drive strategic decision making through effective communication at a senior management level
* Support cross functional initiatives by serving as a thought leader across the company, providing consultation and best practices for CRM and customer engagement.
* Define key priorities for implementation and technologies needed and build data supported Business cases for strategic solutions
* Lead strategy roadmap and end-to-end execution of lifecycle campaigns to increase conversion and success against KPIs by leveraging channels
* Establish strong relationship with Products, Data science, Design, and other counterparts, collaborate on prioritization for roadmap and resolve dependencies
* Lead, manage and optimize all customer service processes and call center directives to ensure the best in class customer service from our call center teams.

**Customer Insight**

* Set KPIs targets and assess the impact of CRM project short and long term
* Conduct market research in partnership with the central team to better understand new consumer expectations and rework the loyalty promise accordingly
* Prioritize and scope analysis request from cross functional teams (Marketing, retail, e-commerce) to ensure the right level of support is provided in a timely way (store cannibalization, retention of B&M customers online during lockdown…)
* Establish analytics and reporting structure to educate other leaders about customers and CRM tactics
* Drive analysis of customer value and behavior data to produce actionable insights to embed onto life cycle campaigns that drive business strategies and value

**Loyalty Program**

* Define and manage the SBP marketing plan / calendar including all activations and brand priorities in partnership with omnichannel and category teams ensuring smooth coordination with external and internal teams.
* Manage all aspects of marketing, media planning and PR related to the Loyalty program as well as the execution of the related direct marketing campaigns (target, offer…)
* Interpret campaign performance data and turn them into actionable business insights and communication guidelines
* Build story telling for the brands using reports to show the profitability of participating/ contributing to the loyalty program gifts
* Partner with Category Managers teams to lead the negotiation with brand suppliers on gifting and offers that will be used for the program
* Monitor closely on all the plans implementation, schedule and activities for all markets and offers to guarantee the consistency and right the image of SBP in all materials.
* Develop Beauty Pass members experiences that money can’t buy and leverage on personalization to create unique customer journey to pamper our best members and grow their engagement.
* Build the brand love for the loyalty program buy building a strong promise and communicating loudly about the perks.

**Team Structure & Talent Management**

* Recommend appropriate organizational, budgetary and resource changes as needed.
* Develop key structures and workflows that contribute to the success of the CRM team and coordination with local and cross functional teams.

**Do not hesitate to apply if you have:**

* The successful candidate for this role is not only a strategic thinker and problem solver able to break down business needs into technical requirements.
* Preferred experience of 6-8 years in Retail/Consumer Goods/FMCG or/and Fashion Industry with excellent track record of CRM/Loyalty Programs.
* Arabic is preferred, not mandatory.
* She/He has a track record of being a cross-functional collaborator who can lead with influence and drive multiple priorities in a fast-paced environment by working closely with Product, Data Science, Engineering, Marketing, and Retails Teams and flexibility to travel.

**Here, you will find:**

* Community: In which authenticity is embraced, and the strength of our differences fuels our collective spirit.
* Culture of Empowerment: Learning & growth, that offers you the tools, space and opportunity to learn, innovate and lead.
* Work that Brings Fulfilment: From delighting clients every day, to inspiring our industry at large, every action makes a difference.

Join us and belong to something beautiful",,https://ae.indeed.com/cmp/Sephora,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/577f86b8ab51a271ac7dfa04f22d753a,https://www.inside-sephora.com/en/about-sephora,Neuilly-sur-Seine,"10,000+",more than $10B (USD),Sephora is the world’s leading global prestige beauty retail brand,,,,,,,IT Director,united arab emirates,0
in-076f68cffa916012,indeed,https://ae.indeed.com/viewjob?jk=076f68cffa916012,https://jobs.dubaicareers.ae/careersection/dubaicareers/jobdetail.ftl?job=26000690&tz=GMT-05%3A00&tzname=America%2FChicago,Head of IT,Mada Media,"Dubai, DU, AE",2026-03-09,fulltime,,,,,,True,,,,,"1. The Role

Mada Media, a leading privately-owned outdoor media entity in Dubai, is seeking a skilled and experienced Head of IT.

The Head of IT will report to the Director of Corporate Support and will be responsible for establishing the IT function within the company, aligning it with the corporate vision and driving operational excellence. This role encompasses developing the IT strategy, overseeing daily IT operations, and improve IT efficiency.

The Head of IT will actively participate in shaping the corporate strategy, providing technical insights to the Board and senior management, and leading all aspects of the company’s technology and systems operations. Moreover, the role includes overseeing supplier selection, managing advertising technology operations, establishing a secure IT infrastructure, and implementing robust IT security and disaster recovery plan.

2. Key Responsibilities

1. Technical & Operations

§ Responsible for leading the company’s operations covering all aspects from technologies and systems perspective, necessary for the business

§ Manage resources efficiently and ensure that the technological and operational resources of the advertisement systems satisfy the company’s short and long-term needs

§ Lead innovative technologies for the company’s advertising systems that yield competitive advantage for the company

§ Lead all activities related to Advertising Operations (including customer relation management such accounts and customer service), and provide the support required to all stakeholders involved to ensure technical operations are running as planned

§ Lead supplier selection, RfP tendering, and procurement of systems. Oversees and measures the fulﬁlment of suppliers’ contractual obligations during development stages.

§ Uses key performance indicators (KPIs) to monitor and challenge supplier performance and identify opportunities for improvement

§ Communicate the company's advertising technology and operational strategy to partners, management, investors, employees etc.

§ Establish a secure, high-performance network infrastructure

§ Develop and maintain disaster recovery (DR) and business continuity plans (BCP)

§ Develop / implement IT security policies and ensure compliance to DESC

§ Carries out risk assessment, uses consistent processes for identifying potential risk events, quantifying, and documenting the probability of occurrence and the impact on the company and coordinates the development of countermeasures and contingency plans

§ Overseeing the infrastructure support service request and incident fulﬁlment. Plans the installation and testing of new versions of system software and end-user peripherals

§ Review the drafts and maintains procedures and documentation for infrastructure, and network support and ensures that all requests for support are dealt with according to set standards and procedures

2. Controls

§ Take overall responsibility for designing, developing and delivering a robust operational and technological control framework and mechanism to ensure the company adheres to international best practices technological policies, processes, systems and standards

§ Plan and develop comprehensive strategic plans, objectives and KPI’s for all activities related to technology function. Reporting of the performance will be conducted quarterly or as frequent as required

§ Lead and ensure continuous improvement of the technology framework to sustain changes in the business environment

§ Verify all technological practices set for the company to ensure all practices adhere to regulatory standards and compliance

§ Oversee the development of the annual IT budgeting and financial planning exercises and liaise with senior management for approvals

§ Takes responsibility for major aspects of infrastructure and network speciﬁcation and design

§ Produces design policies covering connectivity, capacity, interfacing, security, resilience, recovery, access and remote access

§ Oversee the management of TSAs with RTA and DM

§ Maintains a catalogue of the section’s services and ensures that service delivery meets agreed service levels. Diagnoses service delivery problems and initiates actions to maintain or improve levels of service

3. Strategy

§ Actively monitors new technologies, identiﬁes, and benchmarks new and emerging technologies and assesses their relevance and potential value to the company

§ Ensures appropriate briefing and guidance to the Corporate Support Director for all IT related matters

§ Represent the company in external relations related to IT with investors, shareholders, clients, government, local communities, public and others

**Qualifications**

§ A bachelor’s degree in computer science or information technology, programming, or any closely related field from a recognized university

§ Minimum of 12 years relevant sector experience preferred

§ Technology knowledge - technology strategy, innovative technologies, Advertising Systems, internal analysis, Customer Relation Management, and IT systems

§ In-depth knowledge of industry’s standards and regulations

§ Fluent in English",,https://ae.indeed.com/cmp/Mada-Media,,,,,,,,,,,,,IT Director,united arab emirates,0
in-ff71f0b7d477ad6c,indeed,https://ae.indeed.com/viewjob?jk=ff71f0b7d477ad6c,https://www.amazon.jobs/jobs/3199350/principal-employee-relations-customer-service?cmpid=DA_INAD200785B,"Principal, Employee Relations, Customer Service",Amazon.com,"Dubai, DU, AE",2026-02-18,fulltime,,,,,,False,,,,,"**DESCRIPTION**
---------------

Amazon’s Operations Employee Relations (ER) team is looking for a Principal, Employee Relations with a demonstrated passion for building and sustaining positive, engaged work environments for associates and leaders. This individual will have significant employee and labor relations subject matter expertise and proven success as a leader of people.
  
  
The Employee Relations team is responsible for reducing risk to the business by creating and executing programs to develop the next generation of high-performing, associate-centric frontline leaders.
  
  
The Principal, Employee Relations will play a vital role in advancing our mission. The Employee Relations is a tight-knit team of ER professionals, including former HR, operational and legal leaders. We are passionate about improving our leaders’ skill sets in associate engagement across the organization.  
  
Key job responsibilities  
This role will design the Employee Relations (ER) strategy for APAC and MENA Region of Customer Service. This position covers 5 countries and will need to work with/through the in-country ER field team members on the individual country strategy and support the Regional strategy. Partnership with Ops and PXT Regional leadership is critical in this role.  
  
A day in the life  
We are seeking an Employee Relations Principal to support APAC and MENA region of Customer Service Operations which includes both a brick-and-mortar and virtual workforce. The individual must have a demonstrated ability to collaborate with and influence Operations directors, managers, and human resources; to analyze multiple levels of associate/manager feedback to identify risks and gaps; to create, audit, and sustain positive workplace relations programs; and to design and conduct positive workplace relations training that drives best practices. The Principal will work reactively on crisis-oriented situations, traveling as necessary that typically can only be successfully addressed under severe time constraints. The Principal should be capable of creating and executing a strategy across the region that supports operational goals and objectives. Individual must have an ability to detect, and address the hidden risk that are created with a virtual population and work to adopt strong engagement plans to mitigate. The ability to dive deep into process and data is important, but equally essential is the ability to communicate effectively and authentically with senior Ops/HR leaders, frontline managers and associates.

**BASIC QUALIFICATIONS**
------------------------

* 10+ years of employee relations, labor relations, or labor/employment law experience

**PREFERRED QUALIFICATIONS**
----------------------------

* Experience managing and leading employees
* Experience prioritizing and handling multiple assignments at any given time while maintaining commitment to deadlines
* Experience engaging, verbally and in writing, with internal and external stakeholders to convey complex ideas in a clear, concise manner
* Experience working in a fast paced, quickly changing or international environment
* Experience completing complex tasks quickly with little to no guidance and react with appropriate urgency to situations that require a quick turnaround
* Juris Doctor, advanced degree, or other specialized training in labor/employee relations a significant plus.

  
Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",Internet And Software,https://ae.indeed.com/cmp/Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,https://www.amazon.jobs,"440 Terry Ave N, Seattle, WA, United States, Washington","10,000+",more than $10B (USD),Our mission is to be Earth's most customer-centric company.,,,,,,,Program Director,united arab emirates,0
in-410672dcd151cb0c,indeed,https://sa.indeed.com/viewjob?jk=410672dcd151cb0c,https://tricentis.wd1.myworkdayjobs.com/en-US/Tricentis_Careers/job/KSA---Riyadh/Account-Director_JR105592,Account Director,Sealights,"الرياض, S01, SA",2026-03-09,fulltime,,,,,,False,,,,,"Account Director - Riyadh KSA

Who We Are

At Tricentis, we’re redefining what’s possible in software testing and quality engineering. Our AI-driven, codeless, and continuous testing platform empowers enterprises to accelerate innovation, deliver higher-quality releases, and transform digital velocity at scale.

Recognized as a global leader by Gartner, Forrester, and IDC, Tricentis partners with the world’s largest and most innovative companies. We’re a team of curious learners, ambitious achievers, and collaborative competitors who believe in constant growth—both for our customers and ourselves.

If you’re motivated by challenge, feedback, and the pursuit of excellence, you’ll thrive here.

About the Role

We’re looking for an accomplished and strategic Account Director to join the Tricentis Enterprise Sales team. In this role, you’ll lead high-value sales cycles with some of the world’s largest organizations, building long-term, trusted relationships with senior executives and driving transformational business outcomes through Tricentis’ testing and automation solutions.

You’ll bring deep enterprise sales expertise, a strong grasp of forecasting and pipeline discipline, and the leadership presence to influence at the C-suite level. This is an exciting opportunity for a seasoned sales professional who thrives on complexity, strategy, and delivering measurable impact.

What You’ll Do

* Own and expand strategic enterprise accounts — identifying new business opportunities, building executive relationships, and closing complex, multi-stakeholder deals.

* Deliver accurate forecasting and pipeline management, providing visibility into key performance metrics and ensuring consistent achievement of revenue goals.

* Develop a deep understanding of Tricentis’ platform, aligning our solutions to the strategic business and technical objectives of global enterprises.

* Partner closely with Pre-Sales, Customer Growth, and Marketing to drive account strategy, maximize customer value, and ensure long-term success.

* Engage with C-level and senior IT decision-makers, influencing enterprise transformation and adoption of Tricentis solutions.

* Mentor and collaborate with peers to elevate sales excellence across the team, contributing to a culture of continuous learning and growth.

* Provide strategic feedback and market insights to shape Tricentis’ go-to-market strategy and support scalable success across the organization.

Basic Qualifications

* 10+ years experience in software sales, with 5+ years of enterprise SaaS experience.

* Expertise with solution-selling to IT personas at large enterprise companies.

* Proven record of exceeding quotas and managing long, complex sales cycles with multiple stakeholders.

* Work experience in forecasting and pipeline management discipline, with a data-driven approach to revenue predictability and execution.

* Demonstrable experience and appreciation for sales methodologies e.g. MEDDPICC

* Ability to articulate and translate complex technical solutions into business value.

* Experience with CRM and sales enablement tools (e.g., Salesforce, Clari, Outreach).

Who You Are

* Coachable: You show self awareness and growth mindset by seeking feedback and continually refining your approach.

* Gritty: You persevere through challenges, adapt quickly, and maintain focus and motivation under pressure.

* Driven for Results: You set ambitious goals, take ownership of outcomes, and balance both tactical precision and strategic execution.

* Scrappy: You’re resourceful, creative, and find ways to win — no matter the constraints, challenging the status quo, while thinking holistically about scale and impact.

* Collaborative: You thrive in a team environment and celebrate shared success, solving problems in collaboration with others that benefit both us and our customers.

Tricentis Core Values:

At Tricentis, we strive for success while inspiring those around us by knowing what we need to achieve and how we’ll achieve it. Our core values serve as our guiding light to drive our every action and define our ways of working so that we can create and enjoy a successful journey and reach higher heights together.

* Demonstrate Self-Awareness: Own your strengths and limitations.

* Finish What We Start: Do what we say we are going to do.

* Move Fast: Create momentum and efficiency.

* Run Towards Change: Challenge the status quo.

* Serve Our Customers & Communities: Create a positive experience with each interaction.

* Solve Problems Together: We win or lose as one team.

* Think Big & Believe: Set extraordinary goals and believe you can achieve them.

We offer:

* Competitive market salary + success-oriented commission / bonus

* Supportive and engaged leadership team.

* Career path and professional & personal development.

* Personal and professional development.

* A number of leave offerings: volunteer days, vacation days, public holidays, and flex/floating leave days.

* And more!

Tricentis is proud to be an equal opportunity workplace. Qualified applicants will receive consideration for employment without regard to race, color, ethnicity, gender, religious affiliation, age, sexual orientation, socioeconomic status, or physical and mental disability and other statuses protected by law.  
  
Global Sanctions Compliance  
  
We comply with all applicable global sanctions and export control laws. Candidates must not be listed on any government restricted party lists (including OFAC SDN List and U.S. Commerce Department restricted lists) and must certify that their employment would not violate any sanctions or export control regulations. Candidates must notify us of any changes to their status during the application process or subsequent employment.",,https://sa.indeed.com/cmp/Sealights,,http://www.sealights.io,Kfar Saba,11 to 50,,,,,,,,,IT Director,saudi arabia,0
