id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,search_term,search_country,relevance
in-5372a288e881aa51,indeed,https://ae.indeed.com/viewjob?jk=5372a288e881aa51,https://datarobot.wd1.myworkdayjobs.com/en-US/DataRobot_External_Careers/job/Remote-Dubai/Director--AI-Engineering---International_R-102602,"Director, AI Engineering - International",DataRobot,"Dubai, DU, AE",2026-03-10,fulltime,,,,,,False,,,,,"Job Description:

DataRobot delivers AI that maximizes impact and minimizes business risk. Our platform and applications integrate into core business processes so teams can develop, deliver, and govern AI at scale. DataRobot empowers practitioners to deliver predictive and generative AI, and enables leaders to secure their AI assets. Organizations worldwide rely on DataRobot for AI that makes sense for their business — today and in the future.

As the Director of AI Engineering within our Professional Services team, you will be a strategic leader and executive advisor, responsible for driving the technical vision and successful delivery of our most complex and strategic AI programs with our top-tier customers.

You will build and scale a high-performing team of AI Engineers, establish architectural best practices for Agentic AI deployments, and ensure that all solutions translate into exceptional, measurable business value. This role requires a balance of deep technical expertise, a proven background in Software engineering practices and architectures with executive-level communication and P&L accountability for large professional service engagements.

Key Responsibilities:

* Executive & Strategic Engagement: Serve as the most senior technical leader on major engagements, advising C-level executives and key stakeholders on their AI strategy, architectural roadmap, and governance model.
* Team Leadership & Development: Recruit, mentor, and manage a team of Senior and Principal AI Engineers, fostering a culture of technical excellence, accountability, and continuous learning.
* Program Ownership & Governance: Own the technical success of the Professional Services portfolio, setting the technical standards, ensuring solution quality, and overseeing the deployment of advanced AI applications, including Agentic AI and complex GenAI/RAG systems.
* Technical Architecture & Standards: Define the architectural blueprint and MLOps best practices for building robust, scalable, and secure AI solutions that leverage the DataRobot platform and cutting-edge open-source tools.
* Thought Leadership: Act as a recognized subject matter expert in the AI/ML community, representing DataRobot at industry conferences, publishing technical content, and driving internal innovation.
* Revenue and Utilization Management: Drive successful program execution, managing technical risk and ensuring high customer satisfaction, which directly contributes to achieving regional revenue targets.
* Travel: Ability to travel up to 50% across the region to support customers across GCC
* Language: Proficient in Arabic is preferred but not critical

Knowledge, Skills and Abilities:

Strategic AI & Architectural Expertise:

* Expertise in full-stack development, enterprise software architecture and the implementation of modern agentic AI frameworks.
* Deep, proven expertise in defining and implementing end-to-end AI/ML and Generative AI application architectures, including Agentic AI frameworks (LangGraph, CrewAI, Llama Index), RAG, and large-scale predictive modeling systems.
* Expertise in setting MLOps strategy for model CI/CD, governance, and enterprise-level scaling.
* Deep proficiency in containerization (Docker/Kubernetes), and building secure, production-grade REST APIs

Leadership & Consulting:

* Extensive experience (minimum 3+ years) managing and scaling technical teams, including hiring, performance management, and career development.
* Exceptional executive-level verbal and written communication skills, with the ability to lead discussions, present complex technical roadmaps, and influence decision-makers across business and technology domains.
* Demonstrable track record in a highly visible client-facing or consulting leadership role.

Requisite Education and Experience / Minimum Qualifications:

* Experience: Approximately 8-10 years of progressive hands-on experience in Software development, Agentic AI frameworks, or a similar technical role, with a minimum of 3 years in a management or director-level leadership position.
* Education: A CS Degree MS or Ph.D. preferred in Computer Science, Artificial Intelligence, Engineering, or a related quantitative field.
* Cloud Experience: Expert-level, hands-on experience with at least one major cloud platform (AWS, Azure, or GCP) and on-premise deployment experience, with a focus on enterprise architecture and security.
* DataRobot Experience: Expert familiarity with the DataRobot AI Platform is a strong plus.

The talent and dedication of our employees are at the core of DataRobot’s journey to be an iconic company. We strive to attract and retain the best talent by providing competitive pay and benefits with our employees’ well-being at the core. Here’s what your benefits package may include depending on your location and local legal requirements: Medical, Dental & Vision Insurance, Flexible Time Off Program, Paid Holidays, Paid Parental Leave, Global Employee Assistance Program (EAP) and more!

DataRobot Operating Principles:

* Wow Our Customers
* Set High Standards
* Be Better Than Yesterday
* Be Rigorous
* Assume Positive Intent
* Have the Tough Conversations
* Be Better Together
* Debate, Decide, Commit
* Deliver Results
* Overcommunicate

Research shows that many women only apply to jobs when they meet 100% of the qualifications while many men apply to jobs when they meet 60%. At DataRobot we encourage ALL candidates, especially women, people of color, LGBTQ+ identifying people, differently abled, and other people from marginalized groups to apply to our jobs, even if you do not check every box. We’d love to have a conversation with you and see if you might be a great fit.

DataRobot is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. DataRobot is committed to working with and providing reasonable accommodations to applicants with physical and mental disabilities. Please see the United States Department of Labor’s EEO poster and EEO poster supplement for additional information.

All applicant data submitted is handled in accordance with our

Applicant Privacy Policy

.",,https://ae.indeed.com/cmp/Datarobot,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4ce37f731ef5703d690faf8667304876,https://www.datarobot.com,"Boston, MA","501 to 1,000",Decline to state,"DataRobot is the leader in Value-Driven AI, empowering organizations to accelerate AI from idea to impact. With over a decade at the forefront of AI innovation,",,,,,,,Program Director,united arab emirates,2
li-4382048178,linkedin,https://www.linkedin.com/jobs/view/4382048178,,"Director, Digital Operations",Iron Mountain,"Kuwait City, Al Asimah, Kuwait",,,,,,,,False,,,,,,,https://www.linkedin.com/company/iron-mountain,,,,,,,,,,,,,Digital Transformation Director,qatar,2
li-4381298688,linkedin,https://www.linkedin.com/jobs/view/4381298688,,Chief Technology Officer (Abu Dhabi),MCG Talent,"Dubai, United Arab Emirates",2026-03-09,,,,,,,False,,,,,,,https://ae.linkedin.com/company/mcgtalent,,,,,,,,,,,,,CTO,united arab emirates,1
li-4381702052,linkedin,https://www.linkedin.com/jobs/view/4381702052,,Director of Operations (Luxury Beauty and Cosmetics),HRsource,"Dubai, United Arab Emirates",2026-03-09,,,,,,,False,,,,,,,https://ae.linkedin.com/company/wearehrsource,,,,,,,,,,,,,Program Director,united arab emirates,1
li-4382838519,linkedin,https://www.linkedin.com/jobs/view/4382838519,,Project Director,Hire Rightt - Executive Search & HR Advisory,"Dubai, United Arab Emirates",,,,,,,,False,,,,,,,https://ae.linkedin.com/company/hire-rightt-executive-search,,,,,,,,,,,,,Program Director,united arab emirates,1
li-4383468439,linkedin,https://www.linkedin.com/jobs/view/4383468439,,Director of Operations,Payfuture,"Dubai, United Arab Emirates",2026-03-10,,,,,,,False,,,,,,,https://uk.linkedin.com/company/payfuture,,,,,,,,,,,,,Program Director,united arab emirates,1
in-ac31c80bba62986c,indeed,https://ae.indeed.com/viewjob?jk=ac31c80bba62986c,http://ae.indeed.com/job/operations-admin-coordinator-ac31c80bba62986c,Operations & Admin Coordinator,Solanki Real Estate Development LLC,"Dubai, DU, AE",2026-03-09,fulltime,,,,,,False,,,,accounts@company.com,"**Operations & Admin Coordinator – Property Management**

We are looking for a disciplined and detail-oriented professional to join our Property Management and Real Estate Development teams in a full-time, office-based coordination role. This is a structured execution role. You will not be making decisions. You will be ensuring that communications, documents, invoices, quotations, and action items are organised, tracked, and followed up without gaps. If you thrive on structure, take pride in clean records, and follow through consistently, this role is for you.

You will sit at the front desk and serve as the first point of contact for the office, greeting visitors, handling walk-in tenants professionally, and answering and directing incoming calls to the right team member.

You will manage the central inbox for the property management and development teams, categorise and forward emails to the relevant department, and maintain a live follow-up tracker to ensure no request goes unanswered. You will attend internal, consultant, and contractor meetings in person, prepare and circulate clear meeting minutes capturing decisions, responsibilities and deadlines, and follow up with responsible parties until every action item is closed.

On the accounts side, you will raise rent and service charge invoices as instructed, send them to tenants, follow up on outstanding payments, maintain an arrears tracker, and upload payment slips and supporting documents into the system. When vendors are needed, you will collect a minimum of three quotations, prepare a comparison sheet in Excel, and follow up with vendors on anything missing or pending.

You will also be responsible for document control across both teams, maintaining organised records for leases, contracts, consultant agreements, and drawing revisions, with everything properly named, dated, and filed. For development projects, you will maintain a submission log, track authority approval statuses, and follow up with consultants on delays.

We are looking for someone with strong written and spoken English, solid Excel skills, a professional phone manner, and the kind of disciplined follow-through that means nothing falls through the cracks. Prior experience is not mandatory, but your CV and communication must reflect structure and attention to detail. This role reports directly to the Director and works closely with the Leasing Manager, Operations Controller, and Accounts team.

Job Types: Full-time, Permanent

Pay: AED3,000.00 - AED5,000.00 per month

Ability to commute/relocate:

* Dubai: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* This role requires daily use of Microsoft Excel for trackers and comparison sheets. How would you describe your Excel skill level, and what types of spreadsheets have you worked with?
* Without using AI tools, write a short email (maximum 8 sentences) from yourself to a tenant named Mr. Ahmed. Inform him that his rent invoice for the amount of AED 15,000 has been attached, that payment is due within 7 days, and that he should contact the accounts team at accounts@company.com if he has any questions. Do not use bullet points. Write it as a natural, professional email.

Education:

* Bachelor's (Preferred)

Experience:

* administrative or coordination: 1 year (Preferred)

Language:

* English (Required)

Location:

* Dubai (Preferred)

Work Location: In person",,https://ae.indeed.com/cmp/Solanki-Real-Estate-Development-LLC,,,,,,,,,,,,,IT Director,united arab emirates,1
li-4353118304,linkedin,https://www.linkedin.com/jobs/view/4353118304,,Manager - Successfactors ECP Project Management,GMG,"Dubai, United Arab Emirates",,,,,,,,False,,,,,,,https://ae.linkedin.com/company/gmg-group,,,,,,,,,,,,,PMO Director,united arab emirates,1
li-4383878443,linkedin,https://www.linkedin.com/jobs/view/4383878443,,Director of Operations,TALENTMATE,"Dubai, Dubai, United Arab Emirates",2026-03-10,,,,,,,False,,,,,,,https://ae.linkedin.com/company/talentmateglobal,,,,,,,,,,,,,VP Technology,united arab emirates,1
li-4319881126,linkedin,https://www.linkedin.com/jobs/view/4319881126,,Director of IT Operations,HungerStation | هنقرستيشن,"Riyadh, Riyadh, Saudi Arabia",2026-03-08,,,,,,,False,,,,,,,https://sa.linkedin.com/company/hungerstation-com,,,,,,,,,,,,,IT Director,saudi arabia,1
